knockout stunner
abrigment abrigement
acknowledgment acknowledgement
ad advert
airplane aeroplane
aisle gangway
alley mews
aluminum aluminium
analyze analyse
anemia anaemia
anesthetic anaesthetic
annex annexe
apprize apprise
amortize amortise
ardor ardour
bar pub
bartender landlord
bathroom lavatory
beat fagged
biscuit scone
blacktop macadam
brash cheeky
bucks quid
bum tramp
cafeteria refrectory
can tin
caliber calibre
center centre
check cheque
checkers draughts
closet cupboard
color colour
connection connexion
confused fogged
cookie biscuit
cop bobby
crap rot
criticize criticise
crooked bent
curb kerb
defense defence
deflection deflexion
derby bowler
detour diversion
dialyze dialyse
diarrhea diarrhoea
dock quay
dresser wardrobe
dude tosh
ecology oecology
edema oedema
electrolyze electrolyse
elevator lift
enrollment enrolment
eolian aeolian
esophagus oesophagus
estrogen oestrogen
etiology aetiology
favor favour
favorite favourite
fender wing
fervor fervour
fetus foetus
fiber fibre
fired sacked
flashlight torch
flavor flavour
freeway motorway
French Frog
fulfil fulfill
gasoline petrol
genuflection genuflexion
glasses spectacles
gray grey
grounded earthed
harbor harbour
hemoglobin haemoglobin
hiccup hiccough
honor honour
hood bonnet
humor humour
inflection inflexion
intermission interval
jail gaol
janitor porter
jewelry jewellery
judgment judgement
labor labour
lawyer barrister
leveling levelling
license licence
line que
lodgment lodgement
looney dottie
loot swag
luggage baggage
luster lustre
mail post
mailbox postbox
mailman postman
maneuver manoeuvre
marvelous marvellous
messy shabby
meter metre
mist damp
mold mould
molder moulder
molt moult
mom mum
movie film
neighbor neighbour
newsstand kiosk
nuts dotty
offense offence
organize organise
overdraw overdraft
overpass flyover
pad digs
pal fellow
pants trousers
paralyze paralyse
penny pence
pharmiscist chemist
phony phoney
plain moor
plow plough
practice practise
pretense pretence
program programme
radio wireless
raincoat mackintosh
rigor rigour
rubbers galoshes
savor savour
sawed sawn
schedule scedule
sepulcher sepulchre
sewers drains
sidewalk footpath
shoes boots
shorts pants
smelled smelt
smolder smoulder
somber sombre
specter spectre
store shop
story storey
streetcar tram
subway underground
suspenders braces
swamp bog
switch points
takeout takeaways
taxes rates
taxpayers ratepayers
taxi cab
theater theatre
trailer caravan
truck lorry
trunk boot
tire tyre
tumor tumour
TV telly
undershirt vest
vacation holiday
valet batman
vapor vapour
vise vice
wagon waggon
whiz whizz
windsheild windscreen
workman tradesman
wrench spanner
zee zed
